ARGs abundance normalization aganist 16S	Subtype level results
	STAS	SWHAS104
beta-lactam__SHV-145	0	0
beta-lactam__SHV-147	0	0
beta-lactam__SHV-148	0	0
beta-lactam__SHV-149	0	0
beta-lactam__SHV-150	0	0
beta-lactam__SHV-151	0	0
beta-lactam__SHV-152	0	0
beta-lactam__SHV-153	0	0
beta-lactam__SHV-154	0	0
beta-lactam__SHV-155	0	0
beta-lactam__SHV-157	0	0
beta-lactam__SHV-158	0	0
beta-lactam__SHV-159	0	0
beta-lactam__SHV-160	0	0
beta-lactam__SHV-161	0	0
beta-lactam__SHV-162	0	0
beta-lactam__SHV-164	0	0
beta-lactam__SHV-165	0	0
beta-lactam__SHV-167	0	0
beta-lactam__SHV-168	0	0
beta-lactam__SHV-172	0	0
beta-lactam__SHV-173	0	0
beta-lactam__SHV-178	0	0
beta-lactam__SHV-179	0	0
beta-lactam__SHV-2	0	0
beta-lactam__SHV-24	0	0
beta-lactam__SHV-27	0	0
beta-lactam__SHV-28	0	0
beta-lactam__SHV-29	0	0
beta-lactam__SHV-3	0	0
beta-lactam__SHV-34	0	0
beta-lactam__SHV-35	0	0
beta-lactam__SHV-36	0	0
beta-lactam__SHV-37	0	0
beta-lactam__SHV-38	0	0
beta-lactam__SHV-39	0	0
beta-lactam__SHV-4	0	0
beta-lactam__SHV-40	0	0
beta-lactam__SHV-41	0	0
beta-lactam__SHV-42	0	0
beta-lactam__SHV-44	0	0
beta-lactam__SHV-46	0	0
beta-lactam__SHV-48	0	0
beta-lactam__SHV-5	0	0
beta-lactam__SHV-50	0	0
beta-lactam__SHV-51	0	0
beta-lactam__SHV-52	0	0
beta-lactam__SHV-53	0	0
beta-lactam__SHV-55	0	0
beta-lactam__SHV-56	0	0
beta-lactam__SHV-59	0	0
beta-lactam__SHV-6	0	0
beta-lactam__SHV-60	0	0
beta-lactam__SHV-61	0	0
beta-lactam__SHV-62	0	0
beta-lactam__SHV-63	0	0
beta-lactam__SHV-64	0	0
beta-lactam__SHV-65	0	0
beta-lactam__SHV-66	0	0
beta-lactam__SHV-67	0	0
beta-lactam__SHV-69	0	0
beta-lactam__SHV-70	0	0
beta-lactam__SHV-71	0	0
beta-lactam__SHV-77	0	0
beta-lactam__SHV-8	0	0
beta-lactam__SHV-85	0	0
beta-lactam__SHV-86	0	0
beta-lactam__SHV-93	0	0
beta-lactam__SHV-94	0	0
beta-lactam__SHV-95	0	0
beta-lactam__SHV-96	0	0
beta-lactam__SHV-97	0	0
beta-lactam__SIM-1	0	0
beta-lactam__SMB-1	0	0
beta-lactam__SME-1	0	0
beta-lactam__SME-2	0	0
beta-lactam__SME-3	0	0
beta-lactam__SME-4	0	0
beta-lactam__SME-5	0	0
beta-lactam__SRT-1	0	0
beta-lactam__SRT-2	0	0
beta-lactam__TEM-1	0	0
beta-lactam__TEM-10	0	0
beta-lactam__TEM-101	0	0
beta-lactam__TEM-102	0	0
beta-lactam__TEM-104	0	0
beta-lactam__TEM-105	0	0
beta-lactam__TEM-106	0	0
beta-lactam__TEM-107	0	0
beta-lactam__TEM-108	0	0
beta-lactam__TEM-109	0	0
beta-lactam__TEM-11	0	0
beta-lactam__TEM-110	0	0
beta-lactam__TEM-111	0	0
beta-lactam__TEM-112	0	0
beta-lactam__TEM-113	0	0
beta-lactam__TEM-114	0	0
beta-lactam__TEM-115	0	0
beta-lactam__TEM-117	0	0
beta-lactam__TEM-118	0	0
beta-lactam__TEM-120	0	0
beta-lactam__TEM-121	0	0
beta-lactam__TEM-123	0	0
beta-lactam__TEM-124	0	0
beta-lactam__TEM-125	0	0
beta-lactam__TEM-126	0	0
beta-lactam__TEM-127	0	0
beta-lactam__TEM-128	0	0
beta-lactam__TEM-129	0	0
beta-lactam__TEM-130	0	0
beta-lactam__TEM-131	0	0
beta-lactam__TEM-132	0	0
beta-lactam__TEM-133	0	0
beta-lactam__TEM-134	0	0
beta-lactam__TEM-135	0	0
beta-lactam__TEM-136	0	0
beta-lactam__TEM-137	0	0
beta-lactam__TEM-138	0	0
